order_id,order_date,region,category,product,quantity,unit_price,sales
1,2025-01-01,East,Office Supplies,Stapler,8,10.3,82.4
2,2025-01-01,West,Furniture,Bookshelf,7,156.14,1092.98
3,2025-01-02,South,Electronics,Mouse,8,26.56,212.48
4,2025-01-03,South,Electronics,Monitor,8,241.94,1935.52
5,2025-01-03,South,Furniture,Table,5,258.81,1294.05
6,2025-01-04,East,Furniture,Chair,9,140.61,1265.49
7,2025-01-05,West,Office Supplies,Pen Set,3,11.58,34.74
8,2025-01-06,North,Electronics,Keyboard,5,46.45,232.25
9,2025-01-06,West,Electronics,Keyboard,2,51.06,102.12
10,2025-01-07,North,Furniture,Desk,10,282.42,2824.2
11,2025-01-08,West,Furniture,Table,7,258.25,1807.75
12,2025-01-09,West,Office Supplies,Printer Paper,1,13.91,13.91
13,2025-01-09,West,Furniture,,6,273.71,1642.26
14,2025-01-10,South,Furniture,Chair,2,162.38,324.76
15,2025-01-11,West,Furniture,Desk,4,308.81,1235.24
16,2025-01-11,South,Office Supplies,Stapler,7,10.06,70.42
17,2025-01-12,West,Electronics,Mouse,2,25.3,50.6
18,2025-01-13,North,Furniture,Chair,9,140.83,1267.47
19,2025-01-14,North,Electronics,Laptop,7,781.62,5471.34
20,2025-01-14,East,Office Supplies,Printer Paper,3,15.93,47.79
21,2025-01-15,South,Office Supplies,Notebook,5,9.02,45.1
22,2025-01-16,West,Electronics,Mouse,7,27.63,193.41
23,2025-01-17,West,Furniture,Chair,7,141.49,990.43
24,2025-01-17,East,Electronics,Keyboard,8,41.96,335.68
25,2025-01-18,East,Electronics,Keyboard,5,51.37,256.85
26,2025-01-19,South,Electronics,Laptop,0,736.64,7366.4
27,2025-01-19,South,Office Supplies,Printer Paper,9,15.95,143.55
28,2025-01-20,East,Furniture,Table,3,214.86,644.58
29,2025-01-21,East,Electronics,Mouse,4,28.06,112.24
30,2025-01-22,East,Office Supplies,Notebook,4,9.06,36.24
31,2025-01-22,South,Office Supplies,Printer Paper,6,16.71,100.26
32,2025-01-23,West,Electronics,Monitor,9,193.96,1745.64
33,2025-01-24,North,Furniture,Desk,10,265.99,2659.9
34,2025-01-25,East,Office Supplies,Pen Set,1,11.18,11.18
35,2025-01-25,East,Furniture,Chair,4,143.37,573.48
36,2025-01-26,South,Office Supplies,Pen Set,8,12.12,96.96
37,2025-01-27,West,Electronics,Laptop,3,744.66,2233.98
38,2025-01-27,West,Office Supplies,Printer Paper,6,13.73,82.38
39,2025-01-28,South,Electronics,Mouse,1,21.74,21.74
40,2025-01-29,North,Furniture,Bookshelf,2,191.46,382.92
41,2025-01-30,South,Electronics,Mouse,1,,23.25
42,2025-01-30,West,Furniture,Table,6,214.98,1289.88
43,2025-01-31,North,Electronics,Laptop,3,843.37,2530.11
44,2025-02-01,West,Furniture,Table,6,230.65,1383.9
45,2025-02-02,East,Office Supplies,Printer Paper,8,13.82,110.56
46,2025-02-02,South,Furniture,Table,5,259.92,1299.6
47,2025-02-03,East,Furniture,Bookshelf,1,161.14,161.14
48,2025-02-04,East,Furniture,Table,3,256.82,770.46
49,2025-02-05,West,Office Supplies,Pen Set,3,13.11,39.33
50,2025-02-05,West,Office Supplies,Stapler,9,10.57,95.13
51,2025-02-06,West,Office Supplies,Pen Set,8,10.7,85.6
52,2025-02-07,South,Electronics,Laptop,2,901.93,1803.86
53,2025-02-07,South,Furniture,Bookshelf,7,188.64,1320.48
54,2025-02-08,West,Electronics,Mouse,1,23.06,23.06
55,2025-02-09,East,Furniture,Table,5,280.03,1400.15
56,2025-02-10,West,Office Supplies,Notebook,9,7.64,68.76
57,2025-02-10,North,Office Supplies,Stapler,8,9.71,77.68
58,2025-02-11,West,Office Supplies,Notebook,8,8.68,69.44
59,2025-02-12,North,Furniture,Bookshelf,9,188.83,1699.47
60,2025-02-13,East,Furniture,Table,2,248.92,497.84
61,2025-02-13,North,Electronics,Laptop,4,850.92,3403.68
62,2025-02-14,West,Furniture,Chair,4,143.99,575.96
63,2025-02-15,West,Office Supplies,Printer Paper,1,14.14,14.14
64,2025-02-15,South,Office Supplies,Printer Paper,6,13.94,83.64
65,2025-02-16,South,Furniture,Desk,6,290.38,1742.28
66,2025-02-17,North,Office Supplies,Printer Paper,2,14.33,28.66
67,2025-02-18,North,Office Supplies,Stapler,1,9.09,9.09
68,2025-02-18,West,Office Supplies,Stapler,3,10.81,32.43
69,2025-02-19,West,Electronics,Mouse,5,27.88,139.4
70,2025-02-20,South,Electronics,Laptop,8,759.38,6075.04
71,2025-02-21,West,Electronics,Keyboard,3,51.48,154.44
72,2025-02-21,North,Office Supplies,Notebook,5,7.26,36.3
73,2025-02-22,East,Office Supplies,Stapler,2,10.17,20.34
74,2025-02-23,West,Furniture,Desk,3,306.31,918.93
75,2025-02-23,East,Furniture,Table,6,239.4,1436.4
76,2025-02-24,West,Office Supplies,Pen Set,2,11.36,22.72
77,2025-02-25,North,Electronics,Laptop,6,766.28,4597.68
78,2025-02-26,North,Furniture,Bookshelf,10,196.75,1967.5
79,2025-02-26,West,Electronics,Mouse,10,21.29,212.9
80,2025-02-27,South,Electronics,Mouse,1,21.78,21.78
81,2025-02-28,West,Furniture,Table,3,237.85,713.55
82,2025-03-01,East,Furniture,Desk,7,315.48,2208.36
83,2025-03-01,South,Electronics,Monitor,6,225.99,1355.94
84,2025-03-02,South,Electronics,Mouse,10,27.42,274.2
85,2025-03-03,North,Office Supplies,Stapler,5,10.07,50.35
86,2025-03-04,West,Electronics,Keyboard,4,49.62,198.48
87,2025-03-04,West,Furniture,Bookshelf,3,187.42,562.26
88,2025-03-05,North,Electronics,Monitor,10,208.32,2083.2
89,2025-03-06,North,Office Supplies,Printer Paper,10,13.1,131.0
90,2025-03-06,West,Furniture,Chair,7,146.77,1027.39
91,2025-03-07,East,Electronics,Laptop,10,899.65,8996.5
92,2025-03-08,West,Furniture,Table,6,266.09,1596.54
93,2025-03-09,East,Electronics,Laptop,1,909.17,909.17
94,2025-03-09,East,Office Supplies,Notebook,6,8.55,51.3
95,2025-03-10,North,Furniture,Table,3,269.34,808.02
96,2025-03-11,South,Electronics,Monitor,5,193.21,966.05
97,2025-03-12,West,Furniture,Desk,4,270.78,1083.12
98,2025-03-12,North,Furniture,Desk,5,297.61,1488.05
99,2025-03-13,South,Furniture,Desk,5,290.87,1454.35
100,2025-03-14,East,Furniture,Chair,4,129.54,518.16
101,2025-03-14,North,Furniture,Desk,3,300.28,900.84
102,2025-03-15,West,Electronics,Laptop,4,827.8,3311.2
103,2025-03-16,West,Office Supplies,Pen Set,1,13.32,13.32
104,2025-03-17,East,Office Supplies,Stapler,8,10.53,84.24
105,2025-03-17,West,Electronics,Laptop,3,876.95,2630.85
106,2025-03-18,East,Office Supplies,Notebook,1,8.36,8.36
107,2025-03-19,South,Electronics,Laptop,2,689.35,1378.7
108,2025-03-20,North,Office Supplies,Printer Paper,1,15.7,15.7
109,2025-03-20,East,Furniture,Desk,10,285.66,2856.6
110,2025-03-21,South,Electronics,Keyboard,4,47.6,190.4
111,2025-03-22,North,Electronics,Keyboard,8,48.17,385.36
112,2025-03-22,North,Electronics,Laptop,4,722.59,2890.36
113,2025-03-23,South,Office Supplies,Notebook,3,7.79,23.37
114,2025-03-24,West,Electronics,Keyboard,8,49.96,399.68
115,2025-03-25,East,Electronics,Mouse,1,26.35,26.35
116,2025-03-25,North,Electronics,Keyboard,9,43.35,390.15
117,2025-03-26,East,Furniture,Table,9,236.5,2128.5
118,2025-03-27,North,Office Supplies,Notebook,4,6.83,27.32
119,2025-03-28,South,Office Supplies,Stapler,9,9.46,85.14
120,2025-03-28,East,Office Supplies,Stapler,4,10.22,40.88
121,2025-03-29,West,Electronics,Laptop,3,824.59,2473.77
122,2025-03-30,West,Office Supplies,Notebook,4,9.07,36.28
123,2025-03-30,East,Electronics,Keyboard,5,44.92,224.6
124,2025-03-31,East,Furniture,Bookshelf,10,176.84,1768.4
125,2025-04-01,North,Electronics,Keyboard,2,51.33,102.66
126,2025-04-02,East,Furniture,Desk,1,264.1,264.1
127,2025-04-02,South,Furniture,Chair,8,130.77,1046.16
128,2025-04-03,North,Office Supplies,Pen Set,2,10.49,20.98
129,2025-04-04,North,Furniture,Bookshelf,8,173.21,1385.68
130,2025-04-05,North,Furniture,Table,1,283.54,283.54
131,2025-04-05,East,Electronics,Mouse,4,24.07,96.28
132,2025-04-06,South,Office Supplies,Notebook,6,8.49,50.94
133,2025-04-07,North,Furniture,Bookshelf,7,176.46,1235.22
134,2025-04-08,West,Electronics,Monitor,10,235.9,2359.0
135,2025-04-08,East,Electronics,Keyboard,9,48.3,434.7
136,2025-04-09,North,Electronics,Mouse,9,24.06,216.54
137,2025-04-10,South,Electronics,Mouse,1,22.93,22.93
138,2025-04-10,North,Furniture,Table,5,215.76,1078.8
139,2025-04-11,East,Office Supplies,Stapler,5,9.26,46.3
140,2025-04-12,East,Electronics,Monitor,9,201.31,1811.79
141,2025-04-13,East,Office Supplies,Notebook,5,8.47,42.35
142,2025-04-13,West,Office Supplies,Notebook,10,9.08,90.8
143,2025-04-14,West,Furniture,Table,8,259.01,2072.08
144,2025-04-15,South,Furniture,Table,4,247.28,989.12
145,2025-04-16,West,Furniture,Table,5,285.58,1427.9
146,2025-04-16,North,Office Supplies,Pen Set,1,11.21,11.21
147,2025-04-17,South,Electronics,Mouse,3,27.42,82.26
148,2025-04-18,South,Office Supplies,Stapler,5,10.34,51.7
149,2025-04-18,North,Furniture,Table,2,253.87,507.74
150,2025-04-19,South,Office Supplies,Stapler,1,10.83,10.83
151,2025-04-20,North,Office Supplies,Notebook,5,8.6,43.0
152,2025-04-21,South,Furniture,Bookshelf,1,198.27,198.27
153,2025-04-21,East,Electronics,Keyboard,1,38.43,38.43
154,2025-04-22,North,Furniture,Table,1,252.58,252.58
155,2025-04-23,North,Furniture,Bookshelf,5,184.6,923.0
156,2025-04-24,North,Electronics,Monitor,10,211.94,2119.4
157,2025-04-24,North,Furniture,Chair,1,170.43,170.43
158,2025-04-25,South,Furniture,Chair,1,161.56,161.56
159,2025-04-26,South,Office Supplies,Stapler,7,10.51,73.57
160,2025-04-26,West,Furniture,Desk,3,301.81,905.43
161,2025-04-27,East,Electronics,Monitor,5,192.83,964.15
162,2025-04-28,North,Electronics,Laptop,7,861.23,6028.61
163,2025-04-29,West,Furniture,Desk,3,336.28,1008.84
164,2025-04-29,South,Furniture,Desk,2,308.09,616.18
165,2025-04-30,West,Office Supplies,Printer Paper,3,16.82,50.46
166,2025-05-01,West,Electronics,Monitor,1,238.72,238.72
167,2025-05-02,North,Furniture,Bookshelf,10,199.57,1995.7
168,2025-05-02,South,Electronics,Mouse,10,28.2,282.0
169,2025-05-03,South,Electronics,Mouse,4,24.69,98.76
170,2025-05-04,East,Furniture,Chair,2,142.29,284.58
171,2025-05-05,East,Office Supplies,Stapler,3,10.11,30.33
172,2025-05-05,West,Office Supplies,Stapler,6,10.59,63.54
173,2025-05-06,West,Electronics,Keyboard,3,45.21,135.63
174,2025-05-07,North,Furniture,Chair,10,137.57,1375.7
175,2025-05-07,North,Electronics,Monitor,10,198.68,1986.8
176,2025-05-08,South,Furniture,Chair,5,148.24,741.2
177,2025-05-09,North,Furniture,Desk,1,300.31,300.31
178,2025-05-10,North,Office Supplies,Notebook,10,8.72,87.2
179,2025-05-10,East,Furniture,Bookshelf,8,200.17,1601.36
180,2025-05-11,West,Electronics,Laptop,10,888.39,8883.9
181,2025-05-12,East,Electronics,Keyboard,4,41.08,164.32
182,2025-05-13,South,Furniture,Desk,10,323.4,3234.0
183,2025-05-13,West,Furniture,Chair,10,129.15,1291.5
184,2025-05-14,South,Office Supplies,Printer Paper,3,16.78,50.34
185,2025-05-15,East,Office Supplies,Printer Paper,2,14.76,29.52
186,2025-05-15,West,Office Supplies,Printer Paper,9,16.07,144.63
187,2025-05-16,South,Furniture,Bookshelf,9,198.4,1785.6
188,2025-05-17,West,Furniture,Desk,9,335.15,3016.35
189,2025-05-18,North,Electronics,Mouse,10,27.17,271.7
190,2025-05-18,South,Furniture,Bookshelf,4,182.0,728.0
